all_planet_names,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date,visibility_from_naked_eyes
TOI-2180 b,116.685,3581.5,9.162,2022,not visible
HD 135872 b,82.4251,7135.7,7.28103,2022,not visible
HD 22532 b,161.183,2756.0,7.85,2022,not visible
HD 64121 b,129.966,3328.0,7.43,2022,not visible
HD 69123 b,75.116,4017.0,5.77,2022,visible
TOI-1064 b,68.0726,13.5,10.938,2022,not visible
TOI-1064 c,68.0726,2.5,10.938,2022,not visible
TOI-2184 b,788.317,845.0,12.254,2022,not visible
TOI-1268 b,109.557,394.303,10.92,2022,not visible
TOI-2337 b,536.046,2080.0,12.524,2022,not visible
TOI-2669 b,393.443,793.0,10.916,2022,not visible
TOI-4329 b,717.128,585.0,12.724,2022,not visible
TOI-1075 b,61.4592,9.95,12.615,2022,not visible
TOI-1411 b,32.4778,2.42,10.51,2022,not visible
TOI-1442 b,41.1659,1.71,15.39,2022,not visible
TOI-1693 b,30.7947,2.57,12.962,2022,not visible
TOI-1860 b,45.864,2.27,8.4,2022,not visible
K2-384 c,82.6603,1.82,16.12,2022,not visible
K2-384 e,82.6603,2.37,16.12,2022,not visible
K2-396 c,274.864,9.93,13.32,2022,not visible
K2-368 b,206.608,2.34,13.581,2022,not visible
K2-407 b,218.376,2.19,11.969,2022,not visible
K2-407 c,218.376,2.42,11.969,2022,not visible
K2-408 b,162.306,3.45,12.056,2022,not visible
EPIC 206317286 c,314.35,5.03,14.005,2022,not visible
HD 73583 b,31.5666,10.2,9.67,2022,not visible
HD 73583 c,31.5666,9.7,9.67,2022,not visible
K2-365 b,187.222,8.78,11.372,2022,not visible
K2-366 b,185.947,6.16,12.636,2022,not visible
K2-367 b,176.965,6.41,13.794,2022,not visible
K2-369 b,185.55,2.28,11.789,2022,not visible
K2-384 f,82.6603,5.57,16.12,2022,not visible
